Date,SealID,LC,Lat,Lon
29.10.10 07:49:48,66486,1,43.97,-60.142
29.10.10 08:59:33,66486,2,43.971,-60.157
29.10.10 10:41:08,66486,3,43.968,-60.147
29.10.10 11:29:29,66486,2,43.954,-60.125
29.10.10 11:49:07,66486,2,43.944,-60.099
29.10.10 12:57:53,66486,3,43.946,-60.096
29.10.10 13:29:23,66486,3,43.945,-60.094
29.10.10 14:39:08,66486,3,43.945,-60.093
29.10.10 15:06:23,66486,1,43.944,-60.089
30.10.10 00:23:38,66486,3,43.937,-59.971
30.10.10 00:52:53,66486,2,43.937,-59.973
30.10.10 05:36:17,66486,3,43.939,-59.878
30.10.10 05:59:10,66486,1,43.936,-59.85
30.10.10 08:36:27,66486,2,43.942,-59.843
30.10.10 08:57:53,66486,2,43.956,-59.839
30.10.10 10:14:58,66486,2,43.947,-59.831
30.10.10 11:17:58,66486,3,43.949,-59.828
30.10.10 12:57:43,66486,1,43.951,-59.828
30.10.10 13:05:13,66486,2,43.95,-59.837
30.10.10 14:16:28,66486,1,43.955,-59.843
30.10.10 14:43:28,66486,2,43.938,-59.822
01.10.10 00:20:58,66506,1,43.979,-60.045
01.10.10 02:01:25,66506,1,44.019,-60.042
02.10.10 00:02:21,66506,0,44.061,-59.982
02.10.10 15:39:27,66506,0,44.208,-59.946
02.10.10 21:36:54,66506,0,44.329,-59.913
03.10.10 17:08:15,66506,0,44.569,-60.087
03.10.10 23:04:31,66506,0,44.583,-59.976
03.10.10 23:21:29,66506,0,44.633,-59.93
03.10.10 23:21:29,66506,0,44.617,-59.961
05.10.10 06:44:19,66506,0,44.715,-60.516
06.10.10 00:15:03,66506,0,44.662,-60.647
06.10.10 22:29:33,66506,0,44.735,-60.519
06.10.10 23:51:27,66506,0,44.711,-60.499
07.10.10 08:02:08,66506,0,44.723,-60.513
07.10.10 10:49:53,66506,0,44.803,-60.465
09.10.10 12:58:36,66506,0,44.774,-60.381
10.10.10 00:19:21,66506,0,44.75,-60.542
11.10.10 01:35:49,66506,0,44.703,-60.531
12.10.10 01:12:15,66506,0,44.7,-60.531
12.10.10 09:10:18,66506,0,44.715,-60.48
12.10.10 11:46:56,66506,0,44.719,-60.468
12.10.10 15:36:20,66506,0,44.753,-60.452
12.10.10 22:59:36,66506,0,44.719,-60.516
13.10.10 00:47:17,66506,2,44.716,-60.531
13.10.10 06:58:29,66506,1,44.718,-60.573
13.10.10 07:05:23,66506,0,44.719,-60.538
13.10.10 08:37:57,66506,0,44.726,-60.565
13.10.10 08:45:26,66506,1,44.726,-60.539
15.10.10 00:02:33,66506,0,44.712,-60.55
15.10.10 00:34:21,66506,1,44.714,-60.538
15.10.10 06:39:04,66506,0,44.693,-60.453
15.10.10 07:55:51,66506,0,44.69,-60.489
15.10.10 10:54:17,66506,0,44.704,-60.474
15.10.10 12:14:10,66506,0,44.686,-60.414
15.10.10 15:05:31,66506,0,44.679,-60.399
15.10.10 16:25:38,66506,0,44.687,-60.418
16.10.10 00:14:51,66506,0,44.721,-60.495
16.10.10 01:52:52,66506,0,44.684,-60.511
16.10.10 06:25:41,66506,0,44.657,-60.487
16.10.10 08:03:38,66506,0,44.69,-60.383
16.10.10 20:34:23,66506,0,44.611,-60.413
16.10.10 22:10:53,66506,0,44.601,-60.36
16.10.10 23:49:55,66506,0,44.589,-60.354
17.10.10 06:17:53,66506,0,44.489,-60.326
17.10.10 10:32:11,66506,0,44.421,-60.32
17.10.10 11:29:17,66506,0,44.356,-60.292
17.10.10 12:05:24,66506,0,44.404,-60.288
17.10.10 13:11:08,66506,0,44.403,-60.249
17.10.10 13:48:19,66506,0,44.394,-60.254
17.10.10 16:21:36,66506,0,44.326,-60.226
17.10.10 17:44:42,66506,0,44.257,-60.305
17.10.10 20:14:38,66506,0,44.186,-60.307
18.10.10 04:43:13,66506,2,43.957,-60.114
18.10.10 06:04:11,66506,3,43.954,-60.115
18.10.10 06:25:13,66506,3,43.954,-60.115
18.10.10 07:45:41,66506,3,43.954,-60.111
18.10.10 08:24:07,66506,3,43.954,-60.117
18.10.10 10:03:26,66506,3,43.954,-60.115
18.10.10 10:19:23,66506,2,43.954,-60.114
18.10.10 11:57:16,66506,2,43.954,-60.103
18.10.10 12:45:50,66506,3,43.954,-60.121
18.10.10 13:24:59,66506,3,43.955,-60.118
20.10.10 16:01:48,66506,0,44.223,-60.132
20.10.10 17:31:47,66506,0,44.211,-60.107
21.10.10 08:50:57,66506,0,44.413,-60.306
21.10.10 20:15:16,66506,0,44.591,-60.354
21.10.10 21:13:15,66506,0,44.547,-60.332
22.10.10 07:03:19,66506,0,44.667,-60.44
22.10.10 07:27:03,66506,0,44.682,-60.435
22.10.10 08:30:27,66506,0,44.676,-60.426
22.10.10 14:33:19,66506,0,44.776,-60.42
22.10.10 16:52:27,66506,0,44.769,-60.464
22.10.10 18:31:22,66506,0,44.747,-60.434
22.10.10 21:00:49,66506,0,44.73,-60.482
22.10.10 22:36:39,66506,0,44.728,-60.517
23.10.10 00:17:46,66506,0,44.714,-60.536
23.10.10 08:05:02,66506,0,44.72,-60.527
23.10.10 11:01:20,66506,0,44.772,-60.483
23.10.10 13:22:55,66506,0,44.759,-60.509
23.10.10 20:50:09,66506,0,44.737,-60.552
24.10.10 12:05:37,66506,0,44.724,-60.512
24.10.10 22:15:31,66506,0,44.742,-60.472
25.10.10 01:09:46,66506,2,44.68,-60.528
25.10.10 04:50:16,66506,0,44.732,-60.501
25.10.10 10:34:38,66506,0,44.716,-60.471
25.10.10 12:42:37,66506,1,44.758,-60.462
25.10.10 14:21:07,66506,2,44.757,-60.495
25.10.10 22:02:23,66506,0,44.726,-60.49
26.10.10 00:07:43,66506,2,44.702,-60.505
26.10.10 00:44:45,66506,0,44.692,-60.547
26.10.10 08:34:08,66506,1,44.703,-60.517
26.10.10 13:58:39,66506,0,44.708,-60.416
26.10.10 17:48:50,66506,0,44.728,-60.487
26.10.10 18:13:02,66506,0,44.748,-60.464
26.10.10 19:56:55,66506,0,44.727,-60.369
26.10.10 21:53:24,66506,0,44.704,-60.506
26.10.10 22:41:26,66506,0,44.685,-60.522
26.10.10 23:44:16,66506,1,44.659,-60.513
27.10.10 06:34:52,66506,0,44.696,-60.536
27.10.10 07:52:46,66506,0,44.706,-60.519
27.10.10 18:01:18,66506,0,44.745,-60.385
28.10.10 06:01:49,66506,0,44.669,-60.431
28.10.10 14:59:04,66506,0,44.703,-60.369
29.10.10 00:45:01,66506,1,44.647,-60.458
29.10.10 05:48:37,66506,1,44.652,-60.44
29.10.10 07:19:58,66506,0,44.634,-60.4
29.10.10 07:28:08,66506,0,44.666,-60.431
29.10.10 07:53:01,66506,0,44.66,-60.466
29.10.10 13:29:13,66506,0,44.71,-60.457
29.10.10 15:37:04,66506,0,44.702,-60.46
29.10.10 17:44:20,66506,0,44.679,-60.488
29.10.10 22:04:33,66506,0,44.668,-60.49
29.10.10 22:44:29,66506,1,44.659,-60.486
29.10.10 22:58:21,66506,0,44.635,-60.516
30.10.10 00:23:18,66506,1,44.625,-60.456
30.10.10 00:52:49,66506,2,44.621,-60.458
30.10.10 02:04:38,66506,1,44.629,-60.446
30.10.10 05:36:43,66506,1,44.619,-60.453
30.10.10 06:03:24,66506,0,44.625,-60.475
30.10.10 07:15:47,66506,1,44.625,-60.451
30.10.10 10:14:31,66506,0,44.643,-60.425
30.10.10 14:17:19,66506,0,44.6,-60.432
30.10.10 17:06:19,66506,0,44.578,-60.38
31.10.10 00:28:09,66506,1,44.576,-60.459
31.10.10 05:27:27,66506,2,44.594,-60.427
31.10.10 09:51:25,66506,0,44.611,-60.446
31.10.10 11:05:25,66506,1,44.616,-60.442
31.10.10 12:43:58,66506,0,44.645,-60.392
31.10.10 16:55:48,66506,0,44.583,-60.416
31.10.10 17:23:37,66506,0,44.604,-60.433
31.10.10 20:53:41,66506,1,44.606,-60.442
31.10.10 22:26:15,66506,0,44.609,-60.466
31.10.10 22:35:14,66506,0,44.599,-60.458
02.10.10 23:17:17,66548,2,45.144,-60.3
03.10.10 07:21:10,66548,0,45.14,-60.304
03.10.10 19:09:50,66548,0,45.145,-60.303
03.10.10 23:05:53,66548,1,45.145,-60.335
03.10.10 23:19:23,66548,1,45.148,-60.315
03.10.10 23:20:49,66548,2,45.15,-60.317
04.10.10 00:58:52,66548,3,45.166,-60.322
04.10.10 00:58:07,66548,1,45.17,-60.308
04.10.10 07:08:36,66548,0,45.167,-60.337
05.10.10 02:18:54,66548,2,45.131,-60.304
05.10.10 16:48:21,66548,1,45.125,-60.346
05.10.10 19:59:57,66548,0,45.103,-60.481
05.10.10 22:40:58,66548,2,45.126,-60.385
06.10.10 00:12:34,66548,0,45.114,-60.411
07.10.10 04:58:37,66548,1,45.111,-60.346
07.10.10 06:22:46,66548,3,45.124,-60.336
07.10.10 06:38:56,66548,3,45.125,-60.34
07.10.10 13:44:33,66548,0,45.066,-60.307
07.10.10 17:50:12,66548,1,45.118,-60.316
07.10.10 18:09:04,66548,1,45.126,-60.327
07.10.10 20:52:04,66548,1,45.125,-60.342
07.10.10 22:18:55,66548,0,45.114,-60.404
07.10.10 23:26:56,66548,1,45.12,-60.361
08.10.10 06:29:07,66548,2,45.126,-60.382
08.10.10 15:13:09,66548,0,45.132,-60.315
08.10.10 17:41:06,66548,1,45.117,-60.282
08.10.10 20:28:43,66548,1,45.13,-60.276
08.10.10 23:02:11,66548,1,45.128,-60.314
09.10.10 00:43:02,66548,2,45.139,-60.306
09.10.10 07:40:45,66548,3,45.117,-60.318
09.10.10 10:24:26,66548,2,45.091,-60.304
09.10.10 12:56:32,66548,2,45.057,-60.301
09.10.10 13:10:29,66548,0,45.078,-60.291
11.10.10 07:20:03,66548,3,45.067,-60.376
11.10.10 07:55:09,66548,2,45.029,-60.404
11.10.10 17:28:05,66548,1,45.072,-60.389
11.10.10 23:11:18,66548,2,45.068,-60.375
11.10.10 23:34:20,66548,0,45.069,-60.372
12.10.10 05:27:59,66548,2,45.057,-60.381
12.10.10 05:47:54,66548,3,45.06,-60.386
12.10.10 07:08:03,66548,1,45.057,-60.392
12.10.10 07:26:36,66548,0,45.059,-60.388
12.10.10 22:59:07,66548,1,45.061,-60.377
13.10.10 00:50:34,66548,1,45.071,-60.393
13.10.10 01:14:39,66548,2,45.075,-60.38
13.10.10 05:19:02,66548,0,45.1,-60.359
13.10.10 05:37:19,66548,1,45.094,-60.371
13.10.10 06:56:36,66548,1,45.097,-60.365
13.10.10 08:46:07,66548,2,45.076,-60.374
13.10.10 12:58:35,66548,2,45.076,-60.324
13.10.10 17:07:36,66548,0,45.056,-60.359
13.10.10 20:07:50,66548,0,45.083,-60.336
13.10.10 21:06:46,66548,1,45.094,-60.303
14.10.10 05:27:27,66548,2,45,-60.348
14.10.10 06:45:30,66548,0,44.943,-60.333
14.10.10 07:06:26,66548,0,44.927,-60.338
14.10.10 21:23:06,66548,2,44.602,-60.358
14.10.10 22:35:13,66548,1,44.578,-60.381
15.10.10 00:03:02,66548,0,44.574,-60.275
15.10.10 06:36:52,66548,0,44.362,-60.294
15.10.10 08:15:39,66548,1,44.307,-60.36
15.10.10 18:06:19,66548,2,43.968,-60.161
15.10.10 19:21:19,66548,3,43.969,-60.154
15.10.10 21:01:04,66548,3,43.969,-60.153
16.10.10 00:12:19,66548,2,43.968,-60.157
16.10.10 01:19:49,66548,1,43.969,-60.152
16.10.10 01:52:49,66548,3,43.969,-60.152
16.10.10 05:05:34,66548,2,43.97,-60.152
16.10.10 13:33:50,66548,0,43.958,-60.122
16.10.10 16:14:29,66548,1,43.957,-60.155
16.10.10 16:35:29,66548,3,43.961,-60.145
16.10.10 17:55:44,66548,1,43.966,-60.127
16.10.10 18:14:53,66548,1,43.975,-60.141
17.10.10 00:55:48,66548,2,43.963,-60.14
17.10.10 04:56:33,66548,3,43.962,-60.139
17.10.10 06:17:33,66548,2,43.963,-60.144
17.10.10 06:37:48,66548,3,43.963,-60.144
17.10.10 20:11:55,66548,0,43.967,-60.133
17.10.10 20:20:41,66548,2,43.974,-60.161
17.10.10 21:52:11,66548,2,43.925,-60.088
17.10.10 22:00:34,66548,2,43.937,-60.089
17.10.10 22:52:27,66548,3,43.934,-60.043
17.10.10 23:30:48,66548,0,43.923,-60.016
17.10.10 23:40:48,66548,1,43.923,-60.01
18.10.10 00:30:23,66548,2,43.926,-59.986
18.10.10 01:10:36,66548,1,43.925,-59.955
18.10.10 02:52:23,66548,1,43.927,-59.886
18.10.10 10:03:58,66548,3,43.927,-59.915
18.10.10 10:19:43,66548,2,43.926,-59.921
18.10.10 11:57:58,66548,3,43.928,-59.926
18.10.10 12:47:28,66548,3,43.926,-59.911
18.10.10 13:25:43,66548,3,43.927,-59.908
20.10.10 04:25:47,66548,1,43.922,-59.975
20.10.10 05:43:16,66548,3,43.928,-60.005
20.10.10 06:05:33,66548,1,43.926,-60.012
20.10.10 09:18:14,66548,1,43.925,-59.959
20.10.10 09:55:09,66548,3,43.923,-59.934
20.10.10 13:38:52,66548,2,43.925,-59.925
20.10.10 14:22:03,66548,1,43.924,-59.916
20.10.10 17:14:04,66548,1,43.924,-59.936
20.10.10 18:55:17,66548,0,43.934,-59.949
20.10.10 21:23:32,66548,1,43.932,-60.073
20.10.10 23:02:26,66548,3,43.937,-60.081
21.10.10 00:09:16,66548,2,43.941,-60.078
21.10.10 01:01:46,66548,3,43.94,-60.079
21.10.10 01:50:31,66548,2,43.941,-60.082
21.10.10 05:55:46,66548,3,43.942,-60.087
21.10.10 07:14:31,66548,3,43.939,-60.079
21.10.10 08:54:16,66548,3,43.94,-60.082
21.10.10 13:06:47,66548,1,43.939,-60.059
21.10.10 15:42:08,66548,1,43.978,-60.179
22.10.10 05:45:31,66548,1,44.346,-60.233
22.10.10 08:29:32,66548,1,44.395,-60.195
22.10.10 21:01:21,66548,0,44.784,-60.354
23.10.10 01:06:13,66548,1,44.963,-60.47
23.10.10 16:42:44,66548,0,45.068,-60.44
24.10.10 12:28:35,66548,2,45.133,-60.42
24.10.10 18:10:34,66548,2,45.157,-60.39
25.10.10 00:25:45,66548,1,45.153,-60.362
25.10.10 01:10:45,66548,1,45.141,-60.368
25.10.10 02:07:40,66548,2,45.156,-60.352
25.10.10 08:58:20,66548,1,45.148,-60.367
25.10.10 12:39:21,66548,0,45.167,-60.349
25.10.10 16:41:29,66548,0,45.176,-60.312
25.10.10 17:58:22,66548,2,45.172,-60.312
25.10.10 20:20:01,66548,1,45.174,-60.304
25.10.10 23:06:15,66548,2,45.162,-60.311
25.10.10 23:46:12,66548,2,45.163,-60.316
26.10.10 00:04:42,66548,1,45.161,-60.314
26.10.10 00:44:54,66548,1,45.154,-60.317
26.10.10 01:45:32,66548,2,45.155,-60.319
26.10.10 05:04:21,66548,1,45.155,-60.319
26.10.10 06:42:26,66548,3,45.159,-60.313
26.10.10 08:00:02,66548,2,45.152,-60.302
26.10.10 13:00:28,66548,0,45.172,-60.239
26.10.10 13:59:03,66548,0,45.136,-60.225
26.10.10 17:49:51,66548,2,45.165,-60.307
26.10.10 18:12:04,66548,0,45.172,-60.324
26.10.10 18:18:10,66548,1,45.159,-60.29
26.10.10 19:30:51,66548,0,45.141,-60.325
26.10.10 21:35:41,66548,0,45.139,-60.348
26.10.10 23:35:15,66548,0,45.147,-60.346
26.10.10 23:44:38,66548,1,45.138,-60.351
27.10.10 04:53:31,66548,0,45.143,-60.373
27.10.10 06:08:53,66548,3,45.136,-60.365
27.10.10 06:33:22,66548,2,45.142,-60.377
27.10.10 07:50:02,66548,2,45.138,-60.363
27.10.10 08:09:34,66548,2,45.142,-60.367
27.10.10 09:46:52,66548,1,45.142,-60.368
27.10.10 12:34:46,66548,3,45.158,-60.359
27.10.10 13:32:22,66548,1,45.174,-60.309
27.10.10 13:38:52,66548,1,45.146,-60.325
27.10.10 14:42:25,66548,1,45.146,-60.284
27.10.10 17:38:33,66548,0,45.19,-60.253
27.10.10 18:03:08,66548,1,45.175,-60.254
27.10.10 19:33:03,66548,2,45.19,-60.246
27.10.10 21:11:41,66548,1,45.203,-60.237
28.10.10 01:03:10,66548,1,45.212,-60.266
28.10.10 06:23:18,66548,0,45.191,-60.291
28.10.10 07:38:40,66548,2,45.2,-60.298
28.10.10 07:46:12,66548,1,45.203,-60.29
28.10.10 08:01:39,66548,0,45.205,-60.299
28.10.10 23:11:33,66548,2,45.172,-60.316
28.10.10 23:36:33,66548,0,45.173,-60.32
29.10.10 02:25:15,66548,1,45.181,-60.3
29.10.10 05:47:47,66548,1,45.187,-60.307
29.10.10 06:13:05,66548,0,45.189,-60.297
29.10.10 17:19:10,66548,1,45.166,-60.361
29.10.10 20:22:17,66548,1,45.139,-60.343
29.10.10 21:17:45,66548,3,45.134,-60.321
29.10.10 22:57:49,66548,2,45.131,-60.314
29.10.10 23:12:09,66548,2,45.131,-60.315
30.10.10 02:04:27,66548,2,45.117,-60.348
30.10.10 04:20:27,66548,2,45.112,-60.349
30.10.10 06:02:25,66548,2,45.114,-60.358
30.10.10 07:17:49,66548,1,45.121,-60.371
30.10.10 07:41:54,66548,1,45.125,-60.381
30.10.10 12:36:27,66548,1,45.161,-60.361
30.10.10 17:33:27,66548,0,45.161,-60.372
30.10.10 20:00:13,66548,0,45.154,-60.195
30.10.10 22:45:16,66548,1,45.128,-60.371
30.10.10 22:47:48,66548,0,45.117,-60.364
31.10.10 00:30:21,66548,1,45.124,-60.369
31.10.10 01:43:43,66548,1,45.113,-60.382
31.10.10 05:27:46,66548,1,45.093,-60.358
31.10.10 05:50:17,66548,1,45.091,-60.381
31.10.10 07:08:29,66548,2,45.07,-60.354
31.10.10 07:30:25,66548,2,45.08,-60.351
31.10.10 12:41:46,66548,3,45.091,-60.351
31.10.10 16:57:10,66548,1,45.107,-60.374
31.10.10 18:36:48,66548,1,45.124,-60.355
31.10.10 22:26:07,66548,2,45.124,-60.376
31.10.10 22:34:38,66548,2,45.123,-60.38
