scientificname,datecollected,length,Lon_deg,Lon_mi,Lon_sec,Lat_deg,Lat_mi,Lat_sec
Gadus morhua,2010-05-20T15:24:00,0.43,-63,33,2.592,47,35,47.76
Gadus morhua,2010-05-20T15:24:00,0.53,-63,33,2.592,47,35,47.76
Gadus morhua,2010-05-20T15:24:00,0.56,-63,33,2.592,47,35,47.76
Gadus morhua,2010-05-20T15:24:00,0.51,-63,33,2.592,47,35,47.76
Gadus morhua,2010-05-20T15:24:00,0.52,-63,33,2.592,47,35,47.76
Gadus morhua,2010-05-20T16:03:00,0.47,-63,33,8.568,48,1,2.388
Gadus morhua,2010-05-20T16:03:00,0.45,-63,33,8.568,48,1,2.388
Gadus morhua,2010-05-20T16:03:00,0.5,-63,33,8.568,48,1,2.388
Gadus morhua,2010-05-20T16:03:00,0.62,-63,33,8.568,48,1,2.388
Gadus morhua,2010-05-20T16:03:00,0.47,-63,33,8.568,48,1,2.388
Gadus morhua,2010-05-20T16:03:00,0.6,-63,33,8.568,48,1,2.388
Gadus morhua,2010-05-20T16:03:00,0.56,-63,33,8.568,48,1,2.388
Gadus morhua,2010-05-20T16:03:00,0.4,-63,33,8.568,48,1,2.388
Gadus morhua,2010-05-20T17:52:00,0.57,-63,35,21.516,48,2,27.6
Gadus morhua,2010-05-20T17:52:00,0.62,-63,35,21.516,48,2,27.6
Gadus morhua,2010-05-20T17:52:00,0.53,-63,35,21.516,48,2,27.6
Gadus morhua,2010-05-20T17:52:00,0.52,-63,35,21.516,48,2,27.6
Gadus morhua,2010-05-20T17:52:00,0.54,-63,35,21.516,48,2,27.6
Gadus morhua,2010-05-20T17:52:00,0.49,-63,35,21.516,48,2,27.6
Gadus morhua,2010-05-20T18:41:00,0.54,-64,3,35.244,48,2,7.836
Gadus morhua,2010-05-20T18:41:00,0.53,-64,3,35.244,48,2,7.836
Gadus morhua,2010-05-20T18:41:00,0.52,-64,3,35.244,48,2,7.836
Gadus morhua,2010-05-20T18:41:00,0.53,-64,3,35.244,48,2,7.836
Gadus morhua,2010-05-20T18:41:00,0.58,-64,3,35.244,48,2,7.836
Gadus morhua,2010-05-20T18:41:00,0.5,-64,3,35.244,48,2,7.836
Gadus morhua,2010-05-20T18:41:00,0.5,-64,3,35.244,48,2,7.836
Gadus morhua,2010-05-24T12:46:00,0.48,-64,2,1.032,47,33,3.492
Gadus morhua,2010-05-24T12:46:00,0.57,-64,2,1.032,47,33,3.492
Gadus morhua,2010-05-24T12:46:00,0.5,-64,2,1.032,47,33,3.492
Gadus morhua,2010-05-24T12:46:00,0.6,-64,2,1.032,47,33,3.492
Gadus morhua,2010-05-24T12:46:00,0.52,-64,2,1.032,47,33,3.492
Gadus morhua,2010-05-24T13:33:00,0.5,-64,1,15.132,47,32,36.924
Gadus morhua,2010-05-24T13:33:00,0.49,-64,1,15.132,47,32,36.924
Gadus morhua,2010-05-24T13:33:00,0.56,-64,1,15.132,47,32,36.924
Gadus morhua,2010-05-24T16:14:00,0.62,-64,16,19.992,47,33,58.248
Gadus morhua,2009-05-14T00:00:00,0.44,-64,49,46.272,48,1,41.448
Gadus morhua,2009-05-14T00:00:00,0.66,-64,49,46.272,48,1,41.448
Gadus morhua,2009-05-14T00:00:00,0.38,-64,49,46.272,48,1,41.448
Gadus morhua,2009-05-14T00:00:00,0.63,-64,49,46.272,48,1,41.448
Gadus morhua,2009-05-14T00:00:00,0.51,-64,49,46.272,48,1,41.448
Gadus morhua,2009-05-14T00:00:00,0.44,-64,48,31.788,47,57,54
Gadus morhua,2009-05-14T00:00:00,0.42,-64,48,31.788,47,57,54
Gadus morhua,2009-05-16T00:00:00,0.46,-63,59,51.72,47,54,41.148
Gadus morhua,2009-05-16T00:00:00,0.59,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.59,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.56,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.5,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.54,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.47,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.51,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.64,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.52,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.47,-64,3,40.248,47,51,44.928
Gadus morhua,2009-05-16T00:00:00,0.54,-64,3,11.412,47,52,27.84
Gadus morhua,2009-05-16T00:00:00,0.57,-64,3,11.412,47,52,27.84
Gadus morhua,2010-05-24T13:33:00,0.53,-64,1,15.132,47,32,36.924
Gadus morhua,2010-05-24T13:33:00,0.49,-64,1,15.132,47,32,36.924
Gadus morhua,2010-05-24T13:33:00,0.52,-64,1,15.132,47,32,36.924
Gadus morhua,2010-05-24T13:33:00,0.53,-64,1,15.132,47,32,36.924
Gadus morhua,2010-05-24T16:14:00,0.58,-64,16,19.992,47,33,58.248
Gadus morhua,2010-05-24T15:43:00,0.45,-64,7,4.8,47,32,33.252
Gadus morhua,2010-05-24T15:43:00,0.63,-64,7,4.8,47,32,33.252
Gadus morhua,2010-05-24T15:43:00,0.49,-64,7,4.8,47,32,33.252
Gadus morhua,2010-05-24T15:43:00,0.68,-64,7,4.8,47,32,33.252
Gadus morhua,2010-05-24T15:43:00,0.62,-64,7,4.8,47,32,33.252
Gadus morhua,2010-05-24T15:43:00,0.51,-64,7,4.8,47,32,33.252
Gadus morhua,2010-05-24T16:14:00,0.47,-64,16,19.992,47,33,58.248
Gadus morhua,2009-05-16T00:00:00,0.47,-64,3,11.412,47,52,27.84
Gadus morhua,2009-05-16T00:00:00,0.5,-64,3,11.412,47,52,27.84
Gadus morhua,2009-05-18T00:00:00,0.54,-63,57,10.44,47,57,27.72
Gadus morhua,2009-05-16T00:00:00,0.56,-64,1,17.292,47,54,53.712
Gadus morhua,2009-05-16T00:00:00,0.49,-63,59,23.892,47,58,9.408
Gadus morhua,2009-05-16T00:00:00,0.55,-63,59,23.892,47,58,9.408
Gadus morhua,2009-05-16T00:00:00,0.51,-63,59,23.892,47,58,9.408
Gadus morhua,2009-05-16T00:00:00,0.56,-63,59,23.892,47,58,9.408
Gadus morhua,2009-05-16T00:00:00,0.49,-63,59,23.892,47,58,9.408
Gadus morhua,2009-05-16T00:00:00,0.5,-63,59,23.892,47,58,9.408
Gadus morhua,2009-05-16T00:00:00,0.45,-64,9,18.108,48,0,23.508
Gadus morhua,2009-05-16T00:00:00,0.45,-64,19,59.7,48,1,25.86
Gadus morhua,2009-05-16T00:00:00,0.44,-64,19,59.7,48,1,25.86
Gadus morhua,2009-05-16T00:00:00,0.5,-64,19,59.7,48,1,25.86
Gadus morhua,2009-05-16T00:00:00,0.58,-64,19,59.7,48,1,25.86
Gadus morhua,2009-05-16T00:00:00,0.55,-64,19,59.7,48,1,25.86
Gadus morhua,2009-05-16T00:00:00,0.51,-64,19,59.7,48,1,25.86
Gadus morhua,2009-05-16T00:00:00,0.54,-64,1,17.292,47,54,53.712
Gadus morhua,2009-05-16T00:00:00,0.51,-64,1,17.292,47,54,53.712
Gadus morhua,2009-05-16T00:00:00,0.54,-64,1,17.292,47,54,53.712
Gadus morhua,2009-05-16T00:00:00,0.77,-64,1,17.292,47,54,53.712
Gadus morhua,2009-05-16T00:00:00,0.52,-64,32,42.18,48,5,25.548
Gadus morhua,2009-05-16T00:00:00,0.48,-64,1,17.292,47,54,53.712
Gadus morhua,2009-05-16T00:00:00,0.56,-64,1,17.292,47,54,53.712
