scientificname,datecollected,length,Lon_deg,Lon_mi,Lon_sec,Lat_deg,Lat_mi,Lat_sec
Gadus morhua,2013-05-24T17:04:00,0.51,-64,12,10.75788,47,59,20.868
Gadus morhua,2013-05-24T17:35:00,0.56,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-26T14:19:00,0.59,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.42,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.39,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.5,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.59,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-24T18:45:00,0.48,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-26T14:19:00,0.53,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.57,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-24T18:45:00,0.58,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-26T14:19:00,0.71,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-24T17:35:00,0.57,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.58,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T18:20:00,0.42,-64,23,37.13388,47,59,54.37212
Gadus morhua,2013-05-24T18:20:00,0.48,-64,23,37.13388,47,59,54.37212
Gadus morhua,2013-05-24T18:20:00,0.51,-64,23,37.13388,47,59,54.37212
Gadus morhua,2013-05-24T17:35:00,0.58,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.52,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.57,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.64,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.53,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T13:38:00,0.44,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.44,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.46,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T14:50:00,0.46,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T14:50:00,0.47,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T13:38:00,0.48,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.49,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.47,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T14:50:00,0.42,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T14:50:00,0.49,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T13:38:00,0.47,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.49,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.5,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T14:50:00,0.38,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T14:50:00,0.38,-63,59,53.26188,48,0,14.910012
Gadus morhua,2014-06-15T11:56:00,0.5,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:56:00,0.61,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T10:14:00,0.45,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-14T13:49:00,0.5,-64,0,42.012,47,55,52.896
Gadus morhua,2014-06-14T13:49:00,0.51,-64,0,42.012,47,55,52.896
Gadus morhua,2014-05-15T15:20:00,0.43,-64,1,31.332,47,55,36.588
Gadus morhua,2014-05-15T15:20:00,0.61,-64,1,31.332,47,55,36.588
Gadus morhua,2014-05-15T17:30:00,0.46,-64,10,20.172,47,51,10.152
Gadus morhua,2014-06-14T16:13:00,0.6,-64,9,13.788,47,59,30.48
Gadus morhua,2014-06-14T16:13:00,0.51,-64,9,13.788,47,59,30.48
Gadus morhua,2014-05-15T15:20:00,0.47,-64,1,31.332,47,55,36.588
Gadus morhua,2014-05-15T17:30:00,0.42,-64,10,20.172,47,51,10.152
Gadus morhua,2014-05-16T15:50:00,0.43,-63,47,55.788,48,4,48
Gadus morhua,2014-06-14T16:13:00,0.58,-64,9,13.788,47,59,30.48
Gadus morhua,2014-06-14T16:13:00,0.67,-64,9,13.788,47,59,30.48
Gadus morhua,2014-06-15T11:56:00,0.63,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:56:00,0.51,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:02:00,0.63,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:02:00,0.54,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:02:00,0.55,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:56:00,0.5,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:56:00,0.5,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:33:00,0.54,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:33:00,0.7,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:33:00,0.51,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-14T17:17:00,0.44,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.55,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.63,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.53,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.67,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.54,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.65,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.54,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-15T10:14:00,0.44,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.54,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.51,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.46,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.46,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-14T13:26:00,0.69,-64,0,23.328,47,54,40.644
Gadus morhua,2014-06-14T13:26:00,0.55,-64,0,23.328,47,54,40.644
Gadus morhua,2014-06-15T10:14:00,0.48,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.52,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T11:02:00,0.7,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-14T13:49:00,0.55,-64,0,42.012,47,55,52.896
Gadus morhua,2014-06-14T13:49:00,0.56,-64,0,42.012,47,55,52.896
Gadus morhua,2014-06-15T11:02:00,0.52,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:02:00,0.66,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:02:00,0.59,-64,8,45.24,47,53,38.832
Gadus morhua,2014-05-15T15:20:00,0.56,-64,1,31.332,47,55,36.588
Gadus morhua,2014-05-15T14:36:00,0.54,-63,59,39.912,47,59,43.8
Gadus morhua,2014-06-15T11:33:00,0.6,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:33:00,0.51,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:33:00,0.51,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:02:00,0.63,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-14T13:26:00,0.53,-64,0,23.328,47,54,40.644
Gadus morhua,2014-06-15T11:33:00,0.48,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:33:00,0.51,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:33:00,0.54,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:02:00,0.58,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-14T13:26:00,0.49,-64,0,23.328,47,54,40.644
Gadus morhua,2014-05-16T16:38:00,0.43,-64,2,28.212,48,5,12.372
Gadus morhua,2014-05-16T16:38:00,0.45,-64,2,28.212,48,5,12.372
Gadus morhua,2014-05-16T16:38:00,0.54,-64,2,28.212,48,5,12.372
Gadus morhua,2014-05-15T14:36:00,0.55,-63,59,39.912,47,59,43.8
Gadus morhua,2014-05-15T14:36:00,0.43,-63,59,39.912,47,59,43.8
Gadus morhua,2014-05-16T16:38:00,0.46,-64,2,28.212,48,5,12.372
Gadus morhua,2014-05-17T13:45:00,0.39,-64,0,24.768,48,21,29.7
Gadus morhua,2014-05-17T13:45:00,0.41,-64,0,24.768,48,21,29.7
Gadus morhua,2014-05-15T14:36:00,0.48,-63,59,39.912,47,59,43.8
Gadus morhua,2014-05-15T14:36:00,0.47,-63,59,39.912,47,59,43.8
Gadus morhua,2014-06-14T17:17:00,0.5,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.53,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T16:44:00,0.57,-64,13,53.688,48,1,28.56
Gadus morhua,2014-06-14T16:13:00,0.5,-64,9,13.788,47,59,30.48
Gadus morhua,2014-06-14T16:13:00,0.7,-64,9,13.788,47,59,30.48
Gadus morhua,2014-06-14T13:26:00,0.57,-64,0,23.328,47,54,40.644
Gadus morhua,2014-06-14T13:49:00,0.7,-64,0,42.012,47,55,52.896
Gadus morhua,2014-05-17T13:45:00,0.52,-64,0,24.768,48,21,29.7
Gadus morhua,2014-05-17T13:45:00,0.42,-64,0,24.768,48,21,29.7
Gadus morhua,2014-05-17T13:45:00,0.5,-64,0,24.768,48,21,29.7
Gadus morhua,2014-06-14T13:26:00,0.62,-64,0,23.328,47,54,40.644
Gadus morhua,2014-06-14T13:26:00,0.53,-64,0,23.328,47,54,40.644
Gadus morhua,2014-05-17T13:45:00,0.5,-64,0,24.768,48,21,29.7
Gadus morhua,2014-06-14T13:26:00,0.51,-64,0,23.328,47,54,40.644
Gadus morhua,2014-06-14T13:26:00,0.58,-64,0,23.328,47,54,40.644
Gadus morhua,2014-05-16T15:50:00,0.43,-63,47,55.788,48,4,48
Gadus morhua,2014-05-16T15:50:00,0.42,-63,47,55.788,48,4,48
Gadus morhua,2014-05-16T15:50:00,0.45,-63,47,55.788,48,4,48
Gadus morhua,2014-05-15T14:36:00,0.59,-63,59,39.912,47,59,43.8
Gadus morhua,2014-06-14T16:13:00,0.55,-64,9,13.788,47,59,30.48
Gadus morhua,2014-05-16T15:50:00,0.5,-63,47,55.788,48,4,48
Gadus morhua,2014-05-16T15:50:00,0.54,-63,47,55.788,48,4,48
Gadus morhua,2014-05-16T16:38:00,0.53,-64,2,28.212,48,5,12.372
Gadus morhua,2014-05-15T14:36:00,0.49,-63,59,39.912,47,59,43.8
Gadus morhua,2014-06-14T16:13:00,0.68,-64,9,13.788,47,59,30.48
Gadus morhua,2014-06-14T16:44:00,0.59,-64,13,53.688,48,1,28.56
Gadus morhua,2014-06-14T16:44:00,0.81,-64,13,53.688,48,1,28.56
Gadus morhua,2014-06-14T16:44:00,0.67,-64,13,53.688,48,1,28.56
Gadus morhua,2014-06-14T16:44:00,0.67,-64,13,53.688,48,1,28.56
Gadus morhua,2014-06-14T16:44:00,0.69,-64,13,53.688,48,1,28.56
Gadus morhua,2011-06-08T14:28:00,0.89,-64,0,21.168,47,34,13.44
Gadus morhua,2011-06-08T14:28:00,0.67,-64,0,21.168,47,34,13.44
Gadus morhua,2011-06-08T14:28:00,0.63,-64,0,21.168,47,34,13.44
Gadus morhua,2011-06-08T14:28:00,0.64,-64,0,21.168,47,34,13.44
Gadus morhua,2011-06-08T14:28:00,0.72,-64,0,21.168,47,34,13.44
Gadus morhua,2011-06-08T15:05:00,0.66,-64,0,29.88,47,34,18.444
Gadus morhua,2011-06-08T15:05:00,0.62,-64,0,29.88,47,34,18.444
Gadus morhua,2011-06-08T15:05:00,0.6,-64,0,29.88,47,34,18.444
Gadus morhua,2011-06-08T15:05:00,0.64,-64,0,29.88,47,34,18.444
Gadus morhua,2011-06-08T15:05:00,0.58,-64,0,29.88,47,34,18.444
Gadus morhua,2011-06-08T15:40:00,0.7,-64,0,37.368,47,34,23.52
Gadus morhua,2011-06-08T15:40:00,0.69,-64,0,37.368,47,34,23.52
Gadus morhua,2011-06-08T15:40:00,0.57,-64,0,37.368,47,34,23.52
Gadus morhua,2011-06-08T15:40:00,0.56,-64,0,37.368,47,34,23.52
Gadus morhua,2011-06-08T17:39:00,0.62,-64,1,13.332,48,0,7.236
Gadus morhua,2011-06-08T17:39:00,0.6,-64,1,13.332,48,0,7.236
Gadus morhua,2011-06-08T17:39:00,0.56,-64,1,13.332,48,0,7.236
Gadus morhua,2011-06-08T17:39:00,0.61,-64,1,13.332,48,0,7.236
Gadus morhua,2011-06-08T17:39:00,0.58,-64,1,13.332,48,0,7.236
Gadus morhua,2011-06-08T18:13:00,0.57,-64,2,13.2,48,0,7.236
Gadus morhua,2009-05-16T00:00:00,0.49,-64,32,42.18,48,5,25.548
Gadus morhua,2009-05-16T00:00:00,0.54,-64,32,42.18,48,5,25.548
Gadus morhua,2009-05-16T00:00:00,0.48,-64,32,42.18,48,5,25.548
Gadus morhua,2009-05-16T00:00:00,0.48,-64,32,42.18,48,5,25.548
Gadus morhua,2009-05-16T00:00:00,0.49,-64,32,42.18,48,5,25.548
Gadus morhua,2011-06-08T18:13:00,0.53,-64,2,13.2,48,0,7.236
Gadus morhua,2011-06-08T18:13:00,0.57,-64,2,13.2,48,0,7.236
Gadus morhua,2011-06-08T18:13:00,0.51,-64,2,13.2,48,0,7.236
Gadus morhua,2011-06-08T18:13:00,0.51,-64,2,13.2,48,0,7.236
Gadus morhua,2011-06-08T18:13:00,0.51,-64,2,13.2,48,0,7.236
Gadus morhua,2011-06-09T07:55:00,0.53,-63,35,30.012,48,1,33.564
Gadus morhua,2011-06-09T07:55:00,0.55,-63,35,30.012,48,1,33.564
Gadus morhua,2011-06-09T07:55:00,0.58,-63,35,30.012,48,1,33.564
Gadus morhua,2011-06-09T07:55:00,0.55,-63,35,30.012,48,1,33.564
Gadus morhua,2011-06-09T07:55:00,0.52,-63,35,30.012,48,1,33.564
Gadus morhua,2011-06-09T08:28:00,0.56,-63,35,35.592,48,1,50.664
Gadus morhua,2011-06-09T08:28:00,0.52,-63,35,35.592,48,1,50.664
Gadus morhua,2011-06-09T08:28:00,0.52,-63,35,35.592,48,1,50.664
Gadus morhua,2011-06-09T08:28:00,0.57,-63,35,35.592,48,1,50.664
Gadus morhua,2011-06-09T08:28:00,0.51,-63,35,35.592,48,1,50.664
Gadus morhua,2011-06-09T09:04:00,0.51,-63,35,39.156,48,2,1.716
Gadus morhua,2011-06-09T09:04:00,0.58,-63,35,39.156,48,2,1.716
Gadus morhua,2011-06-09T09:04:00,0.52,-63,35,39.156,48,2,1.716
Gadus morhua,2009-05-16T00:00:00,0.47,-64,32,42.18,48,5,25.548
Gadus morhua,2009-05-16T00:00:00,0.49,-64,32,42.18,48,5,25.548
Gadus morhua,2009-05-16T00:00:00,0.48,-64,32,42.18,48,5,25.548
Gadus morhua,2009-05-16T00:00:00,0.46,-64,42,34.812,48,0,0
Gadus morhua,2009-05-16T00:00:00,0.49,-64,42,34.812,48,0,0
Gadus morhua,2009-05-16T00:00:00,0.49,-64,42,34.812,48,0,0
Gadus morhua,2009-05-16T00:00:00,0.54,-64,42,34.812,48,0,0
Gadus morhua,2009-05-16T00:00:00,0.51,-64,42,34.812,48,0,0
Gadus morhua,2009-05-16T00:00:00,0.53,-64,42,34.812,48,0,0
Gadus morhua,2009-05-16T00:00:00,0.49,-64,42,34.812,48,0,0
Gadus morhua,2009-05-16T00:00:00,0.52,-64,42,34.812,48,0,0
Gadus morhua,2009-05-16T00:00:00,0.46,-64,42,34.812,48,0,0
Gadus morhua,2009-05-16T00:00:00,0.5,-64,42,34.812,48,0,0
Gadus morhua,2011-06-09T09:04:00,0.58,-63,35,39.156,48,2,1.716
Gadus morhua,2011-06-09T09:04:00,0.5,-63,35,39.156,48,2,1.716
Gadus morhua,2011-06-09T09:24:00,0.52,-63,35,46.32,48,2,7.332
Gadus morhua,2011-06-09T09:24:00,0.53,-63,35,46.32,48,2,7.332
Gadus morhua,2011-06-09T09:24:00,0.55,-63,35,46.32,48,2,7.332
Gadus morhua,2011-06-09T11:00:00,0.48,-63,33,49.32,48,1,4.188
Gadus morhua,2011-06-09T11:00:00,0.56,-63,33,49.32,48,1,4.188
Gadus morhua,2010-05-19T14:10:00,0.56,-64,0,36.36,47,34,54.084
Gadus morhua,2010-05-19T14:10:00,0.51,-64,0,36.36,47,34,54.084
Gadus morhua,2010-05-19T14:10:00,0.52,-64,0,36.36,47,34,54.084
Gadus morhua,2010-05-19T14:10:00,0.54,-64,0,36.36,47,34,54.084
Gadus morhua,2010-05-19T14:10:00,0.57,-64,0,36.36,47,34,54.084
Gadus morhua,2010-05-19T14:52:00,0.53,-64,0,21.6,47,35,39.66
Gadus morhua,2010-05-19T14:52:00,0.6,-64,0,21.6,47,35,39.66
Gadus morhua,2010-05-19T14:52:00,0.68,-64,0,21.6,47,35,39.66
Gadus morhua,2010-05-19T14:52:00,0.6,-64,0,21.6,47,35,39.66
Gadus morhua,2010-05-19T14:52:00,0.58,-64,0,21.6,47,35,39.66
Gadus morhua,2010-05-19T15:22:00,0.55,-64,0,7.308,48,0,20.088
Gadus morhua,2010-05-19T15:22:00,0.6,-64,0,7.308,48,0,20.088
Gadus morhua,2010-05-19T15:22:00,0.5,-64,0,7.308,48,0,20.088
Gadus morhua,2010-05-19T15:22:00,0.51,-64,0,7.308,48,0,20.088
Gadus morhua,2010-05-19T15:22:00,0.53,-64,0,7.308,48,0,20.088
Gadus morhua,2010-05-19T16:45:00,0.55,-63,34,25.824,48,2,16.152
Gadus morhua,2010-05-19T16:45:00,0.52,-63,34,25.824,48,2,16.152
Gadus morhua,2010-05-19T17:25:00,0.52,-63,34,13.692,48,3,31.536
Gadus morhua,2010-05-19T17:25:00,0.46,-63,34,13.692,48,3,31.536
Gadus morhua,2010-05-19T17:25:00,0.55,-63,34,13.692,48,3,31.536
Gadus morhua,2010-05-19T17:25:00,0.56,-63,34,13.692,48,3,31.536
Gadus morhua,2010-05-19T17:25:00,0.52,-63,34,13.692,48,3,31.536
Gadus morhua,2010-05-19T17:57:00,0.55,-64,0,16.776,48,3,31.608
Gadus morhua,2010-05-19T17:57:00,0.49,-64,0,16.776,48,3,31.608
Gadus morhua,2010-05-19T17:57:00,0.47,-64,0,16.776,48,3,31.608
Gadus morhua,2010-05-19T17:57:00,0.5,-64,0,16.776,48,3,31.608
Gadus morhua,2010-05-19T17:57:00,0.54,-64,0,16.776,48,3,31.608
Gadus morhua,2010-05-19T19:08:00,0.44,-64,7,22.512,48,2,44.52
Gadus morhua,2010-05-19T19:08:00,0.44,-64,7,22.512,48,2,44.52
Gadus morhua,2010-05-19T19:08:00,0.61,-64,7,22.512,48,2,44.52
Gadus morhua,2010-05-19T19:08:00,0.44,-64,7,22.512,48,2,44.52
Gadus morhua,2010-05-19T19:08:00,0.51,-64,7,22.512,48,2,44.52
Gadus morhua,2010-05-19T19:08:00,0.51,-64,7,22.512,48,2,44.52
Gadus morhua,2010-05-19T19:08:00,0.48,-64,7,22.512,48,2,44.52
Gadus morhua,2010-05-20T13:07:00,0.6,-63,34,41.664,47,34,53.472
Gadus morhua,2010-05-20T13:07:00,0.53,-63,34,41.664,47,34,53.472
Gadus morhua,2010-05-20T13:07:00,0.47,-63,34,41.664,47,34,53.472
Gadus morhua,2010-05-20T13:07:00,0.5,-63,34,41.664,47,34,53.472
Gadus morhua,2010-05-20T13:07:00,0.55,-63,34,41.664,47,34,53.472
Gadus morhua,2010-05-20T13:07:00,0.51,-63,34,41.664,47,34,53.472
Gadus morhua,2010-05-20T13:34:00,0.54,-63,34,40.224,47,34,47.028
Gadus morhua,2010-05-20T13:34:00,0.52,-63,34,40.224,47,34,47.028
Gadus morhua,2010-05-20T13:34:00,0.58,-63,34,40.224,47,34,47.028
Gadus morhua,2010-05-20T13:34:00,0.52,-63,34,40.224,47,34,47.028
Gadus morhua,2010-05-20T13:34:00,0.5,-63,34,40.224,47,34,47.028
Gadus morhua,2010-05-20T14:02:00,0.49,-63,34,39.144,47,34,37.344
Gadus morhua,2010-05-20T14:02:00,0.5,-63,34,39.144,47,34,37.344
Gadus morhua,2010-05-20T14:02:00,0.45,-63,34,39.144,47,34,37.344
Gadus morhua,2010-05-20T14:02:00,0.57,-63,34,39.144,47,34,37.344
Gadus morhua,2010-05-20T14:02:00,0.46,-63,34,39.144,47,34,37.344
Gadus morhua,2010-05-20T14:50:00,0.46,-63,33,6.984,47,34,38.316
Gadus morhua,2010-05-20T14:50:00,0.53,-63,33,6.984,47,34,38.316
Gadus morhua,2010-05-20T14:50:00,0.49,-63,33,6.984,47,34,38.316
